w1	w2	w3	L1_weights	L2_weights	L3_weights	BPW	total kbyte	Layers	test/accuracy
64	64	64	16384	4096	4096	4	12.3125	3	99.01
64	64	0	16384	4096	0	4	10.3125	2	98.79
64	48	32	16384	3072	1536	4	10.40625	3	98.51
56	56	56	14336	3136	3136	4	10.3359375	3	98.73
72	80	0	18432	5760	0	4	12.203125	2	98.98
80	80	80	20480	6400	6400	4	16.640625	3	99.04
96	96	0	24576	9216	0	4	16.96875	2	98.98
48	48	0	12288	2304	0	4	7.359375	2	98.52
48	48	48	12288	2304	2304	4	8.484375	3	98.72
72	64	0	18432	4608	0	4	11.5625	2	98.85
72	72	0	18432	5184	0	4	11.8828125	2	98.94
64	96	0	16384	6144	0	4	11.46875	2	98.96
64	128	0	16384	8192	0	4	12.625	2	99.03
64	72	0	16384	4608	0	4	10.6015625	2	98.76
56	112	0	14336	6272	0	4	10.609375	2	98.87
48	160	0	12288	7680	0	4	10.53125	2	98.79
48	128	0	12288	6144	0	4	9.625	2	98.7
40	64	0	10240	2560	0	4	6.5625	2	98.29
40	40	0	10240	1600	0	8	11.953125	2	98.6
40	40	0	10240	1600	0	4	5.976563	2	98.13
40	40	0	10240	1600	0	5	7.460703	2	98.44
40	40	0	10240	1600	0	2	2.988281	2	96.79
