num_epochs	QuantType	BPW	NormType	batch_size	learning_rate	lr_decay	step_size	network_width1	network_width2	network_width3	Parameters	Totalbits	Accuracy/train	Accuracy/test	Loss/train	Loss/test
30	2bitsym	2	RMS	128	0.001	0.1	10	16	16	16	4768	9536	93.96833038	93.54000092	0.210660011	0.220271438
30	Binary	1	RMS	128	0.001	0.1	10	32	48	32	11584	11584	94.95166779	94.88999939	0.171185374	0.175417304
30	Ternary	1.6	RMS	128	0.001	0.1	10	24	24	24	7536	12057.59961	95.5083313	95.05999756	0.157431617	0.172766447
30	2bitsym	2	RMS	128	0.001	0.1	10	24	24	24	7536	15072	96.30500031	95.86000061	0.124898829	0.144815609
30	Binary	1	RMS	128	0.001	0.1	10	48	32	32	15168	15168	96.12666321	95.54000092	0.130515814	0.145601466
30	Binary	1	RMS	128	0.001	0.1	10	48	48	32	16448	16448	96.61333466	96.06999969	0.113300718	0.132798299
30	4bitsym	4	RMS	128	0.001	0.1	10	16	16	16	4768	19072	95.8833313	95.15000153	0.142325208	0.166150466
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.59500122	96.80000305	0.075935371	0.10220889
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.79333496	96.76999664	0.072463408	0.105802305
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.63833618	96.61000061	0.076641515	0.117163301
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.72000122	96.70999908	0.073574446	0.103008136
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.72000122	96.72000122	0.074169569	0.106362127
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.74666595	97.04000092	0.071919426	0.100333385
30	Binary	1	RMS	128	0.001	0.1	10	64	64	64	25216	25216	97.67166901	96.91000366	0.074403964	0.10203369
30	4bitsym	4	RMS	128	0.001	0.1	10	24	24	24	7536	30144	97.59166718	96.58000183	0.081336185	0.116349958
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	95.5533371	95.01999664	0.149930149	0.172408655
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	96.48999786	95.75	0.121690705	0.149008647
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	95.96333313	95.20999908	0.150282741	0.175092667
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	95.93166351	95.27999878	0.138523698	0.163161501
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	96.42666626	95.66000366	0.125531822	0.149377212
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	96.2583313	95.65000153	0.130329177	0.152184337
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	97.07333374	96.05999756	0.103929766	0.141094044
30	8bit	8	RMS	128	0.001	0.1	10	16	16	16	4768	38144	96.21333313	95.72000122	0.131994531	0.154453799
30	Ternary	1.6	RMS	128	0.001	0.1	10	64	64	64	25216	40345.60156	98.80500031	97.5	0.038920593	0.086704224
30	Ternary	1.6	RMS	128	0.001	0.1	10	64	64	64	25216	40345.60156	98.82666779	97.66000366	0.039240263	0.080099061
30	Binary	1	RMS	128	0.001	0.1	10	96	96	96	43968	43968	98.6883316	97.80999756	0.041361477	0.075462244
30	2bitsym	2	RMS	128	0.001	0.1	10	64	48	48	22240	44480	98.94999695	97.62999725	0.034304049	0.081468672
30	2bitsym	2	RMS	128	0.001	0.1	10	64	64	48	24032	48064	99.12999725	97.79000092	0.030079897	0.07552468
30	2bitsym	2	RMS	128	0.001	0.1	10	64	64	48	24032	48064	99.06666565	97.73000336	0.030958444	0.081059061
30	2bitsym	2	RMS	128	0.001	0.1	10	64	64	64	25216	50432	99.15666962	97.95999908	0.029203488	0.074282631
30	2bitsym	2	RMS	128	0.001	0.1	10	64	64	64	25216	50432	99.07499695	97.66999817	0.030472489	0.086960226
30	2bitsym	2	RMS	128	0.001	0.1	10	64	64	80	26400	52800	99.04833221	97.80000305	0.030868249	0.076512448
30	2bitsym	2	RMS	128	0.001	0.1	10	80	64	64	30336	60672	99.3833313	97.76000214	0.021506036	0.0804158
30	2bitsym	2	RMS	128	0.001	0.1	10	80	80	64	32640	65280	99.47499847	97.91000366	0.019363793	0.071172968
30	Binary	1	RMS	128	0.001	0.1	10	128	128	128	66816	66816	99.25499725	97.93000031	0.024259612	0.069476709
30	2bitsym	2	RMS	128	0.001	0.1	10	80	80	80	34080	68160	99.47166443	97.81999969	0.018568316	0.075221173
30	4bitsym	4	RMS	128	0.001	0.1	10	48	48	48	17376	69504	99.37833405	97.75	0.02541119	0.078946352
30	4bitsym	4	RMS	128	0.001	0.1	10	48	48	48	17376	69504	97.09166718	96.18000031	0.096560962	0.135403857
30	Ternary	1.6	RMS	128	0.001	0.1	10	96	96	96	43968	70348.79688	99.5083313	97.86000061	0.018384641	0.074451007
30	8bit	8	RMS	128	0.001	0.1	10	32	32	32	10560	84480	98.74666595	97.44000244	0.047507994	0.090913475
30	8bit	8	RMS	128	0.001	0.1	10	32	32	32	10560	84480	98.66166687	97.38999939	0.048467185	0.09226539
30	8bit	8	RMS	128	0.001	0.1	10	32	32	32	10560	84480	98.68333435	97.16000366	0.048221145	0.097158171
30	2bitsym	2	RMS	128	0.001	0.1	10	96	96	96	43968	87936	99.64333344	97.87999725	0.014006477	0.078228727
30	Binary	1	RMS	128	0.001	0.1	10	160	160	160	93760	93760	99.51833344	98.26999664	0.016576426	0.060108811
30	4bitsym	4	RMS	128	0.001	0.1	10	64	64	64	25216	100864	99.77666473	98.20999908	0.011492738	0.067927346
30	4bitsym	4	RMS	128	0.001	0.1	10	64	64	64	25216	100864	99.73666382	97.98000336	0.012213291	0.075106576
30	4bitsym	4	RMS	128	0.001	0.1	10	64	64	64	25216	100864	99.76833344	97.76000214	0.01179162	0.07858
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	99.17166901	98.43000031	0.026882112	0.047549289
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	99.34500122	98.63999939	0.021795386	0.04329231
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	99.76166534	98.34999847	0.0100767	0.06396731
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	98.08999634	98.65000153	0.060123611	0.044574291
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	97.51333618	98.62000275	0.077958964	0.04628583
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	97.89167023	98.69999695	0.067252591	0.040403374
30	Ternary	1.6	RMS	128	0.001	0.1	10	128	128	128	66816	106905.6016	97.87750244	98.76000214	0.068583876	0.041533936
30	2bitsym	2	RMS	128	0.001	0.1	10	128	128	128	66816	133632	99.88999939	98.19000244	0.005878554	0.069907822
30	4bitsym	4	RMS	128	0.001	0.1	10	80	80	80	34080	136320	99.18000031	98.58000183	0.026338689	0.044426065
30	4bitsym	4	RMS	128	0.001	0.1	10	80	80	80	34080	136320	99.20249939	98.62000275	0.026008073	0.045075145
30	4bitsym	4	RMS	128	0.001	0.1	10	80	80	80	34080	136320	99.21916962	98.55999756	0.026043883	0.045832504
30	4bitsym	4	RMS	128	0.001	0.1	10	80	80	80	34080	136320	99.86833191	98.16000366	0.007509662	0.063676886
30	8bit	8	RMS	128	0.001	0.1	10	48	48	48	17376	139008	99.39167023	97.94000244	0.024051715	0.077490211
30	8bit	8	RMS	128	0.001	0.1	10	48	48	48	17376	139008	99.51667023	97.76000214	0.02148254	0.077619374
30	8bit	8	RMS	128	0.001	0.1	10	48	48	48	17376	139008	99.49833679	97.69000244	0.021350816	0.085419267
30	8bit	8	RMS	128	0.001	0.1	10	48	48	48	17376	139008	99.66333008	97.73000336	0.016294222	0.085673384
