QuantType	BPW	batch_size	network_width1	network_width2	network_width3	Parameters	Totalbits	Accuracy/train	Accuracy/test	Loss/train	Loss/test
Binary	1	128	64	64	64	25216	25216	97.59500122	96.80000305	0.075935371	0.10220889
Binary	1	128	64	64	64	25216	25216	97.79333496	96.76999664	0.072463408	0.105802305
Binary	1	128	64	64	64	25216	25216	97.63833618	96.61000061	0.076641515	0.117163301
Binary	1	128	64	64	64	25216	25216	97.72000122	96.70999908	0.073574446	0.103008136
Binary	1	128	64	64	64	25216	25216	97.72000122	96.72000122	0.074169569	0.106362127
Binary	1	128	64	64	64	25216	25216	97.74666595	97.04000092	0.071919426	0.100333385
Binary	1	128	64	64	64	25216	25216	97.67166901	96.91000366	0.074403964	0.10203369
Ternary	1.6	128	64	64	64	25216	40345.60156	98.80500031	97.5	0.038920593	0.086704224
Ternary	1.6	128	64	64	64	25216	40345.60156	98.82666779	97.66000366	0.039240263	0.080099061
2bitsym	2	128	64	48	48	22240	44480	98.94999695	97.62999725	0.034304049	0.081468672
2bitsym	2	128	64	64	48	24032	48064	99.12999725	97.79000092	0.030079897	0.07552468
2bitsym	2	128	64	64	48	24032	48064	99.06666565	97.73000336	0.030958444	0.081059061
2bitsym	2	128	64	64	80	26400	52800	99.04833221	97.80000305	0.030868249	0.076512448
2bitsym	2	128	64	64	64	25216	50432	99.15666962	97.95999908	0.029203488	0.074282631
2bitsym	2	128	64	64	64	25216	50432	99.07499695	97.66999817	0.030472489	0.086960226
4bitsym	4	128	64	64	64	25216	100864	99.77666473	98.20999908	0.011492738	0.067927346
4bitsym	4	128	64	64	64	25216	100864	99.73666382	97.98000336	0.012213291	0.075106576
4bitsym	4	128	64	64	64	25216	100864	99.76833344	97.76000214	0.01179162	0.07858
8bit	8	128	64	64	64	25216	201728	99.89167023	98.13999939	0.00680928	0.066086918
8bit	8	128	64	64	64	25216	201728	99.86833191	98.02999878	0.007506728	0.073647425
8bit	8	128	64	64	64	25216	201728	99.84333038	97.93000031	0.009154263	0.078787938
8bit	8	128	64	64	64	25216	201728	99.88833618	97.98999786	0.007123163	0.074402936
None	32	128	64	64	64	25216	806912	99.25166321	98.75	0.025440145	0.043007035
None	32	128	64	64	64	25216	806912	99.88500214	98.12000275	0.007095081	0.06810613
None	32	128	64	64	64	25216	806912	99.87666321	98.08999634	0.007548976	0.075958706
None	32	128	64	64	64	25216	806912	99.54666901	98.09999847	0.016896078	0.076675124
None	32	128	64	64	64	25216	806912	99.83166504	98	0.008510431	0.07825122
