Input	bits	total kbyte	Layers	test/accuracy
16x16	4	12.3125	3	99.01
16x16	4	10.3125	2	98.79
16x16	4	10.40625	3	98.51
16x16	4	10.3359375	3	98.73
16x16	4	12.203125	2	98.98
16x16	4	16.640625	3	99.04
16x16	4	16.96875	2	98.98
16x16	4	7.359375	2	98.52
16x16	4	8.484375	3	98.72
16x16	4	11.5625	2	98.85
16x16	4	11.8828125	2	98.94
16x16	4	11.46875	2	98.96
16x16	4	12.625	2	99.03
16x16	4	10.6015625	2	98.76
16x16	4	10.609375	2	98.87
16x16	4	10.53125	2	98.79
16x16	4	9.625	2	98.7
16x16	4	6.5625	2	98.29
16x16	8	11.953125	2	98.6
16x16	4	5.976563	2	98.13
16x16	5	7.460703	2	98.44
16x16	2	2.988281	2	96.79
16x16	2	1.101563	2	94.22
8x8	4	2.16	3	96.96
8x8	4	3.98	3	97.91
8x8	4	12.47	3	98.39
8x8	4	4.3125	2	98.04
8x8	4	1.65625	2	96.6
8x8	4	6.015625	2	98.13
8x8	4	9.140625	3	98.47
8x8	1	0.414063	2	91.38
8x8	1	0.53906	3	92.16
8x8	2	1.078124	3	95.64
8x8	2	0.714	3	94.541
8x8	4	0.82812	2	94.92
8x8	2	0.4140625	3	91.7
8x8	2	0.5566406	3	93.4
